dia,hora,conteo_in,conteo_out
1,0.0,41,30
1,0.00493,43,29
1,0.00985,44,32
1,0.01478,46,33
1,0.0197,70,44
1,0.02463,73,41
1,0.02956,85,58
1,0.03448,85,54
1,0.03941,90,49
1,0.04433,91,46
1,0.04926,90,75
1,0.05419,92,80
1,0.05911,112,74
1,0.06404,112,77
1,0.06897,94,82
1,0.07389,91,79
1,0.07882,100,71
1,0.08374,100,71
1,0.08867,96,54
1,0.0936,95,52
1,0.09852,103,74
1,0.10345,101,71
1,0.10837,84,71
1,0.1133,87,72
1,0.11823,90,74
1,0.12315,85,72
1,0.12808,96,57
1,0.133,92,57
1,0.13793,93,57
1,0.14286,99,58
1,0.14778,81,53
1,0.15271,84,56
1,0.15764,81,59
1,0.16256,87,56
1,0.16749,58,43
1,0.17241,55,45
1,0.17734,49,34
1,0.18227,50,27
1,0.18719,57,35
1,0.19212,48,33
1,0.19704,55,38
1,0.20197,52,44
1,0.2069,63,41
1,0.21182,60,40
1,0.21675,57,40
1,0.22167,54,40
1,0.2266,41,26
1,0.23153,41,25
1,0.23645,51,29
1,0.24138,52,31
1,0.24631,66,41
1,0.25123,62,46
1,0.25616,64,56
1,0.26108,65,52
1,0.26601,58,41
1,0.27094,57,39
1,0.27586,57,36
1,0.28079,55,37
1,0.28571,61,48
1,0.29064,60,44
1,0.29557,69,48
1,0.30049,63,50
1,0.30542,64,34
1,0.31034,58,39
1,0.31527,70,50
1,0.3202,66,55
1,0.32512,61,54
1,0.33005,56,53
1,0.33498,80,62
1,0.3399,82,65
1,0.34483,67,51
1,0.34975,68,56
1,0.35468,59,57
1,0.35961,59,53
1,0.36453,59,55
1,0.36946,60,55
1,0.37438,62,52
1,0.37931,69,54
1,0.38424,67,49
1,0.38916,62,48
1,0.39409,69,70
1,0.39901,66,68
1,0.40394,81,92
1,0.40887,83,92
1,0.41379,83,80
1,0.41872,80,80
1,0.42365,93,93
1,0.42857,95,101
1,0.4335,76,96
1,0.43842,83,92
1,0.44335,91,85
1,0.44828,87,89
1,0.4532,95,89
1,0.45813,96,92
1,0.46305,71,94
1,0.46798,78,95
1,0.47291,92,77
1,0.47783,92,77
1,0.48276,95,87
1,0.48768,88,83
1,0.49261,78,74
1,0.49754,76,81
1,0.50246,71,61
1,0.50739,70,65
1,0.51232,56,52
1,0.51724,55,48
1,0.52217,57,51
1,0.52709,56,54
1,0.53202,50,41
1,0.53695,48,50
1,0.54187,37,22
1,0.5468,37,23
1,0.55172,50,39
1,0.55665,51,44
1,0.56158,53,38
1,0.5665,57,36
1,0.57143,55,31
1,0.57635,55,34
1,0.58128,53,40
1,0.58621,58,42
1,0.59113,43,42
1,0.59606,44,41
1,0.60099,53,45
1,0.60591,49,44
1,0.61084,40,31
1,0.61576,36,36
1,0.62069,48,34
1,0.62562,54,35
1,0.63054,56,38
1,0.63547,52,36
1,0.64039,50,27
1,0.64532,53,30
1,0.65025,57,35
1,0.65517,59,41
1,0.6601,48,44
1,0.66502,48,44
1,0.66995,49,45
1,0.67488,50,41
1,0.6798,28,35
1,0.68473,36,31
1,0.68966,47,31
1,0.69458,44,33
1,0.69951,48,29
1,0.70443,51,33
1,0.70936,42,21
1,0.71429,39,22
1,0.71921,41,25
1,0.72414,38,25
1,0.72906,34,26
1,0.73399,33,22
1,0.73892,52,21
1,0.74384,50,23
1,0.74877,43,20
1,0.75369,48,21
1,0.75862,46,38
1,0.76355,48,38
