dia,hora,conteo_in,conteo_out
Lunes,07:00,41,30
Lunes,07:05,43,29
Lunes,07:10,44,32
Lunes,07:15,46,33
Lunes,07:20,70,44
Lunes,07:25,73,41
Lunes,07:30,85,58
Lunes,07:35,85,54
Lunes,07:40,90,49
Lunes,07:45,91,46
Lunes,07:50,90,75
Lunes,07:55,92,80
Lunes,08:00,112,74
Lunes,08:05,112,77
Lunes,08:10,94,82
Lunes,08:15,91,79
Lunes,08:20,100,71
Lunes,08:25,100,71
Lunes,08:30,96,54
Lunes,08:35,95,52
Lunes,08:40,103,74
Lunes,08:45,101,71
Lunes,08:50,84,71
Lunes,08:55,87,72
Lunes,09:00,90,74
Lunes,09:05,85,72
Lunes,09:10,96,57
Lunes,09:15,92,57
Lunes,09:20,93,57
Lunes,09:25,99,58
Lunes,09:30,81,53
Lunes,09:35,84,56
Lunes,09:40,81,59
Lunes,09:45,87,56
Lunes,09:50,58,43
Lunes,09:55,55,45
Lunes,10:00,49,34
Lunes,10:05,50,27
Lunes,10:10,57,35
Lunes,10:15,48,33
Lunes,10:20,55,38
Lunes,10:25,52,44
Lunes,10:30,63,41
Lunes,10:35,60,40
Lunes,10:40,57,40
Lunes,10:45,54,40
Lunes,10:50,41,26
Lunes,10:55,41,25
Lunes,11:00,51,29
Lunes,11:05,52,31
Lunes,11:10,66,41
Lunes,11:15,62,46
Lunes,11:20,64,56
Lunes,11:25,65,52
Lunes,11:30,58,41
Lunes,11:35,57,39
Lunes,11:40,57,36
Lunes,11:45,55,37
Lunes,11:50,61,48
Lunes,11:55,60,44
Lunes,12:00,69,48
Lunes,12:05,63,50
Lunes,12:10,64,34
Lunes,12:15,58,39
Lunes,12:20,70,50
Lunes,12:25,66,55
Lunes,12:30,61,54
Lunes,12:35,56,53
Lunes,12:40,80,62
Lunes,12:45,82,65
Lunes,12:50,67,51
Lunes,12:55,68,56
Lunes,13:00,59,57
Lunes,13:05,59,53
Lunes,13:10,59,55
Lunes,13:15,60,55
Lunes,13:20,62,52
Lunes,13:25,69,54
Lunes,13:30,67,49
Lunes,13:35,62,48
Lunes,13:40,69,70
Lunes,13:45,66,68
Lunes,13:50,81,92
Lunes,13:55,83,92
Lunes,14:00,83,80
Lunes,14:05,80,80
